Model,Metric,Chunking,Prompt Extension,Top K,Prompt,llm_scores,weighted_score,cosine_similarity
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.829962
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.614097
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.7991
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.552323
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.776484
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.846442
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.8, 0.9]",0.88,0.843869
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.9]",0.92,0.564367
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.859641
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.770008
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 0.8]",0.86,0.74297
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.84361
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.717493
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.9]",0.88,0.746305
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.519322
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.762741
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.9, 1.0, 0.9, 1.0]",0.96,0.55662
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.756553
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.8, 0.9]",0.86,0.690651
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.411909
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.890133
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.539605
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.716008
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.2, 0.8]",0.7,0.870184
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.536785
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.7606
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.531393
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.695014
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.8, 0.9]",0.88,0.717234
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.687212
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.889591
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.745479
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.726264
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.812625
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.726274
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 0.7, 0.8]",0.84,0.736206
snowflake-arctic-embed-m,euclidean,spacy text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.843171
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.7, 1.0]",0.88,0.814321
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 1.0]",0.9,0.688801
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.8]",0.9,0.660148
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.759177
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.549418
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.677654
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.654506
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.6, 1.0, 1.0, 1.0]",0.92,0.711499
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.9, 1.0, 0.8, 1.0]",0.94,0.782418
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.570708
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.751049
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.584965
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.8]",0.92,0.718017
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.555948
snowflake-arctic-embed-m,dotproduct,character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.9, 1.0, 1.0, 1.0]",0.98,0.593533
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.9, 1.0]",0.9,0.677607
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.8]",0.92,0.68095
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.756037
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.668275
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.3, 0.8]",0.72,0.870184
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.544354
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.731536
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.739038
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.725749
snowflake-arctic-embed-m,dotproduct,character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.819875
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.668287
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.8, 1.0]",0.88,0.746995
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.786375
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.8, 1.0]",0.92,0.774657
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.592215
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.7, 1.0]",0.86,0.875643
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.5, 0.8]",0.76,0.829282
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.8]",0.92,0.542697
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.777348
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 0.9]",0.92,0.56093
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.728252
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.5, 0.8]",0.76,0.817604
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.8]",0.92,0.692795
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.729116
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.591016
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.7991
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.552323
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.822778
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.858204
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.8]",0.9,0.601867
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.791117
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.868619
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.5, 0.8]",0.78,0.681918
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 0.7, 0.8]",0.84,0.70426
snowflake-arctic-embed-m,dotproduct,recursive character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.841008
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.743255
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.8]",0.86,0.745433
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.519322
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.8, 1.0]",0.92,0.804738
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.62171
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 1.0, 1.0]",0.92,0.738789
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.9]",0.88,0.696999
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.580119
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.868212
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.9, 1.0, 0.9, 1.0]",0.96,0.539605
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.744669
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.2, 0.8]",0.7,0.870184
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.9, 1.0, 1.0, 1.0]",0.98,0.588926
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.7606
snowflake-arctic-embed-m,dotproduct,spacy text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 0.9]",0.94,0.592054
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.734169
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.622382
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.889591
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 1.0, 1.0]",0.92,0.76799
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.5, 0.8]",0.8,0.835528
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.726264
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.9, 1.0, 0.8, 1.0]",0.94,0.804152
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.758993
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.6, 1.0, 0.7, 0.8]",0.82,0.746688
snowflake-arctic-embed-m,dotproduct,spacy text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.8, 1.0]",0.92,0.843171
